store_location,product_category,product_type,product_detail,total_qty_of_product_sold,total_revenue,day_of_transaction,day_number,month_of_transaction,month_number,transaction_quarter,time_of_transaction,days_classification,time_classification
Lower Manhattan,Coffee,Gourmet brewed coffee,Ethiopia Rg,2,6.0,Sun,1,Jan,1,1,07:06:11,Weekend,Early Morning
Lower Manhattan,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,2,6.2,Sun,1,Jan,1,1,07:08:56,Weekend,Early Morning
Lower Manhattan,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2,9.0,Sun,1,Jan,1,1,07:14:04,Weekend,Early Morning
Lower Manhattan,Coffee,Drip coffee,Our Old Time Diner Blend Sm,1,2.0,Sun,1,Jan,1,1,07:20:24,Weekend,Early Morning
Lower Manhattan,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,2,6.2,Sun,1,Jan,1,1,07:22:41,Weekend,Early Morning
Lower Manhattan,Bakery,Scone,Oatmeal Scone,1,3.0,Sun,1,Jan,1,1,07:22:41,Weekend,Early Morning
Lower Manhattan,Coffee,Drip coffee,Our Old Time Diner Blend Sm,1,2.0,Sun,1,Jan,1,1,07:25:49,Weekend,Early Morning
Lower Manhattan,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,2,4.0,Sun,1,Jan,1,1,07:33:34,Weekend,Early Morning
Lower Manhattan,Coffee,Barista Espresso,Latte Rg,1,4.25,Sun,1,Jan,1,1,07:39:13,Weekend,Early Morning
Lower Manhattan,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,2,7.0,Sun,1,Jan,1,1,07:39:34,Weekend,Early Morning
Lower Manhattan,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,1,2.55,Sun,1,Jan,1,1,07:43:05,Weekend,Early Morning
Lower Manhattan,Coffee,Gourmet brewed coffee,Ethiopia Lg,2,7.0,Sun,1,Jan,1,1,07:44:35,Weekend,Early Morning
Lower Manhattan,Tea,Brewed Black tea,Earl Grey Lg,1,3.0,Sun,1,Jan,1,1,07:45:51,Weekend,Early Morning
Lower Manhattan,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,1,3.1,Sun,1,Jan,1,1,07:48:19,Weekend,Early Morning
Lower Manhattan,Coffee,Barista Espresso,Ouro Brasileiro shot,2,6.0,Sun,1,Jan,1,1,07:52:36,Weekend,Early Morning
Lower Manhattan,Tea,Brewed Green tea,Serenity Green Tea Lg,2,6.0,Sun,1,Jan,1,1,07:59:58,Weekend,Early Morning
Lower Manhattan,Bakery,Scone,Jumbo Savory Scone,1,3.75,Sun,1,Jan,1,1,07:59:58,Weekend,Early Morning
Hell's Kitchen,Tea,Brewed herbal tea,Lemon Grass Rg,1,2.5,Sun,1,Jan,1,1,08:00:18,Weekend,Early Morning
Hell's Kitchen,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2,9.0,Sun,1,Jan,1,1,08:00:39,Weekend,Early Morning
Hell's Kitchen,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,1,4.75,Sun,1,Jan,1,1,08:11:45,Weekend,Early Morning
Hell's Kitchen,Coffee,Gourmet brewed coffee,Ethiopia Lg,2,7.0,Sun,1,Jan,1,1,08:17:27,Weekend,Early Morning
Lower Manhattan,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2,5.1,Sun,1,Jan,1,1,08:24:26,Weekend,Early Morning
Lower Manhattan,Bakery,Biscotti,Hazelnut Biscotti,1,3.25,Sun,1,Jan,1,1,08:24:26,Weekend,Early Morning
Hell's Kitchen,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,1,2.55,Sun,1,Jan,1,1,08:29:38,Weekend,Early Morning
Hell's Kitchen,Coffee,Barista Espresso,Cappuccino,1,3.75,Sun,1,Jan,1,1,08:31:23,Weekend,Early Morning
Lower Manhattan,Tea,Brewed herbal tea,Lemon Grass Lg,1,3.0,Sun,1,Jan,1,1,08:33:08,Weekend,Early Morning
Lower Manhattan,Bakery,Biscotti,Chocolate Chip Biscotti,1,3.5,Sun,1,Jan,1,1,08:33:08,Weekend,Early Morning
Lower Manhattan,Tea,Brewed herbal tea,Peppermint Lg,2,6.0,Sun,1,Jan,1,1,08:35:03,Weekend,Early Morning
Lower Manhattan,Bakery,Pastry,Chocolate Croissant,1,3.75,Sun,1,Jan,1,1,08:35:03,Weekend,Early Morning
Hell's Kitchen,Coffee,Barista Espresso,Cappuccino,2,7.5,Sun,1,Jan,1,1,08:41:57,Weekend,Early Morning
Hell's Kitchen,Coffee,Barista Espresso,Latte,1,3.75,Sun,1,Jan,1,1,08:52:03,Weekend,Early Morning
Lower Manhattan,Coffee,Organic brewed coffee,Brazilian Rg,1,3.0,Sun,1,Jan,1,1,08:52:32,Weekend,Early Morning
Lower Manhattan,Coffee,Organic brewed coffee,Brazilian Lg,2,7.0,Sun,1,Jan,1,1,08:54:33,Weekend,Early Morning
Lower Manhattan,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2,5.0,Sun,1,Jan,1,1,08:56:27,Weekend,Early Morning
Hell's Kitchen,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,1,2.5,Sun,1,Jan,1,1,08:57:46,Weekend,Early Morning
Lower Manhattan,Coffee,Organic brewed coffee,Brazilian Rg,1,3.0,Sun,1,Jan,1,1,08:58:55,Weekend,Early Morning
Lower Manhattan,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,1,4.0,Sun,1,Jan,1,1,09:00:12,Weekend,Morning
Hell's Kitchen,Coffee,Barista Espresso,Cappuccino,2,7.5,Sun,1,Jan,1,1,09:00:24,Weekend,Morning
Hell's Kitchen,Tea,Brewed herbal tea,Peppermint Lg,1,3.0,Sun,1,Jan,1,1,09:07:13,Weekend,Morning
Hell's Kitchen,Tea,Brewed herbal tea,Peppermint Lg,2,6.0,Sun,1,Jan,1,1,09:08:09,Weekend,Morning
Hell's Kitchen,Coffee,Drip coffee,Our Old Time Diner Blend Lg,1,3.0,Sun,1,Jan,1,1,09:08:13,Weekend,Morning
Lower Manhattan,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,2,7.5,Sun,1,Jan,1,1,09:10:30,Weekend,Morning
Lower Manhattan,Bakery,Scone,Scottish Cream Scone ,1,4.5,Sun,1,Jan,1,1,09:10:30,Weekend,Morning
Lower Manhattan,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,1,2.55,Sun,1,Jan,1,1,09:11:06,Weekend,Morning
Lower Manhattan,Bakery,Scone,Oatmeal Scone,1,3.0,Sun,1,Jan,1,1,09:11:06,Weekend,Morning
Lower Manhattan,Tea,Brewed herbal tea,Peppermint Rg,1,2.5,Sun,1,Jan,1,1,09:13:01,Weekend,Morning
Lower Manhattan,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2,5.1,Sun,1,Jan,1,1,09:13:15,Weekend,Morning
Lower Manhattan,Tea,Brewed Black tea,English Breakfast Rg,1,2.5,Sun,1,Jan,1,1,09:14:16,Weekend,Morning
Hell's Kitchen,Coffee,Drip coffee,Our Old Time Diner Blend Rg,1,2.5,Sun,1,Jan,1,1,09:14:17,Weekend,Morning
Hell's Kitchen,Tea,Brewed Green tea,Serenity Green Tea Rg,1,2.5,Sun,1,Jan,1,1,09:14:25,Weekend,Morning
Hell's Kitchen,Coffee,Gourmet brewed coffee,Ethiopia Rg,1,3.0,Sun,1,Jan,1,1,09:14:41,Weekend,Morning
Lower Manhattan,Tea,Brewed Green tea,Serenity Green Tea Lg,2,6.0,Sun,1,Jan,1,1,09:15:09,Weekend,Morning
Lower Manhattan,Tea,Brewed herbal tea,Lemon Grass Lg,2,6.0,Sun,1,Jan,1,1,09:15:13,Weekend,Morning
Lower Manhattan,Coffee,Organic brewed coffee,Brazilian Sm,2,4.4,Sun,1,Jan,1,1,09:19:21,Weekend,Morning
Hell's Kitchen,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,1,4.5,Sun,1,Jan,1,1,09:19:26,Weekend,Morning
Lower Manhattan,Coffee,Barista Espresso,Latte,1,3.75,Sun,1,Jan,1,1,09:21:08,Weekend,Morning
Hell's Kitchen,Tea,Brewed herbal tea,Peppermint Lg,1,3.0,Sun,1,Jan,1,1,09:22:17,Weekend,Morning
Lower Manhattan,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,1,2.45,Sun,1,Jan,1,1,09:22:46,Weekend,Morning
Hell's Kitchen,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,2,7.5,Sun,1,Jan,1,1,09:29:56,Weekend,Morning
Hell's Kitchen,Bakery,Biscotti,Ginger Biscotti,1,3.5,Sun,1,Jan,1,1,09:29:56,Weekend,Morning
Hell's Kitchen,Tea,Brewed Chai tea,Traditional Blend Chai Lg,1,3.0,Sun,1,Jan,1,1,09:29:57,Weekend,Morning
Hell's Kitchen,Coffee,Barista Espresso,Cappuccino Lg,2,8.5,Sun,1,Jan,1,1,09:34:17,Weekend,Morning
Lower Manhattan,Coffee,Barista Espresso,Cappuccino Lg,1,4.25,Sun,1,Jan,1,1,09:40:13,Weekend,Morning
Lower Manhattan,Tea,Brewed herbal tea,Peppermint Lg,2,6.0,Sun,1,Jan,1,1,09:41:22,Weekend,Morning
Lower Manhattan,Bakery,Scone,Jumbo Savory Scone,1,3.75,Sun,1,Jan,1,1,09:41:22,Weekend,Morning
